m_disk,sb_law,scale_factor,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob

-7.562560810877927864e+00,5.048885495633776088e+00,-1.343376598688132417e-01,4.740486476106210212e+00,1.858662341771703197e+01,9.128234604592508106e+01,1.284798499423473288e+02,5.348389461575222756e-04,1.697116130461416442e-04,4.601016434458914356e-04,-inf
-7.438369411108691764e+00,5.097879063794430010e+00,-1.113970175783152161e-02,1.150621297115104547e+01,2.656724795984536414e+01,9.022679408345116769e+01,1.283430428795485909e+02,4.192029656498281413e-04,-3.165769670969935780e-05,2.435346005007795302e-04,-inf
-7.515680938978744230e+00,4.903543071020913580e+00,-4.763976149492837875e-02,1.090287405268455956e+01,2.608923811121478309e+01,8.943220880557896635e+01,1.285752610360190715e+02,4.211328008479691093e-04,2.468556685359337322e-04,1.995874010932490394e-04,-inf
-7.514731891463031666e+00,-6.214993917378865973e-01,8.484556549427507699e-04,6.436187363988844723e+00,1.816180537793405847e+01,9.142866456324766489e+01,1.285041840923717587e+02,4.169666022389318522e-04,1.083163110876001628e-04,3.110100395146396805e-04,-3.140075429687500000e+05
-7.503319861257017109e+00,1.666162384213218495e+00,7.764918926996011717e-02,1.258212367663079334e+01,3.923247069256260744e+01,9.104670869014285017e+01,1.283616303342505773e+02,3.791872888434643513e-04,2.037158828950757171e-04,2.197751981562312128e-04,-3.102692675781250000e+05
-7.590844376588397502e+00,-1.736435361430905822e+00,9.266875263741389257e-02,6.193308939825320714e+00,2.530832807803553663e+01,8.878698798073618548e+01,1.285512233589723508e+02,3.985935994300541878e-04,4.813631828512899419e-07,3.627920012880360488e-04,-3.235381621093750000e+05
-7.542408570553289060e+00,4.574665602422276933e+00,1.223006816146577636e-01,4.652993565222242722e+00,1.239456059929755583e+01,8.934888364462820221e+01,1.285313169012588332e+02,3.805543241631891460e-04,9.803421405793911591e-05,2.554012547490102877e-04,-3.275646933593750000e+05
-7.508061459309169905e+00,3.197455243766735844e+00,8.930929681851462743e-02,1.514199569767338005e+01,1.858209201559525425e+01,9.055039528306929242e+01,1.285753553109222196e+02,3.997010878457592318e-04,9.787399834685553272e-05,5.846623371508005034e-05,-3.107716738281250000e+05
-7.491817466589810515e+00,2.838265548938294192e+00,4.934057857449278273e-02,9.944817740249726867e+00,1.374459291568671304e+01,9.065052685943915378e+01,1.285640600476077395e+02,3.763743720915122362e-04,-3.791866530521184023e-05,2.483418357028562137e-04,-inf
-7.567042791133007817e+00,-1.031133496663939386e+00,8.933142783744106585e-02,1.285964199361395899e+01,2.693625374094777314e+01,8.905978320148111038e+01,1.285850961206123202e+02,4.408793856585146499e-04,-5.892970595294808110e-05,2.683350420341501659e-04,-inf
-7.587952899233875392e+00,4.166856410606192274e-01,1.269459064361094791e-01,1.716041086944402849e+01,2.631121367359451924e+01,9.009543189494426940e+01,1.285986892904180650e+02,3.203503004481905855e-04,5.464976319230381303e-05,2.739523861306354907e-04,-3.102954726562500000e+05
-7.545485427432932823e+00,3.879911939389689479e+00,3.766668087071363413e-02,3.218526026284944663e-01,5.210271808787288705e+01,9.113098265284646970e+01,1.284889126739388132e+02,2.938296019923172775e-04,1.133962423670392222e-04,4.805988509365039809e-04,-3.108638281250000000e+05
-7.511698363112087051e+00,1.666920548531102275e+00,5.259325686973879282e-02,1.593760912031450871e+01,2.850797247028556569e+01,8.909871919502346316e+01,1.284827091588523729e+02,3.119322369540268288e-04,1.656451920341397467e-04,3.096346221024026159e-04,-3.096913652343750000e+05
-7.521047454024961887e+00,1.494826455536026444e+00,3.545708156098115876e-02,2.004732386012987888e+01,2.904062367564199931e+01,8.971655779806008013e+01,1.284794345257005830e+02,2.253261991994398518e-04,2.396909545414172937e-04,4.446165898554269805e-04,-3.099590488281250000e+05
-7.560694393634829424e+00,7.221599708372494320e+00,8.247536321069601217e-02,1.060778200142125627e+01,3.213840061196509623e+01,9.062169704555158489e+01,1.285407191849804462e+02,4.582945682053772129e-04,-6.817527486016806320e-06,1.990619440349333932e-04,-inf
-7.489069947305051933e+00,-3.724128476588428605e-01,9.769899398378123490e-02,6.315954080919149227e+00,3.370662074541192510e+01,9.045576493959431730e+01,1.285101984901839387e+02,2.119151766006775153e-04,2.494133857430333055e-04,3.981889036042956121e-04,-3.129448652343750000e+05
-7.484888455007791208e+00,1.060433959491597022e+00,3.523629687519969078e-02,1.568165305147867628e+01,3.422446281008903668e+01,9.041628859533177831e+01,1.282602516098256729e+02,3.856031758328520094e-04,2.622581862046716584e-04,3.223351990975204624e-04,-3.098508164062500000e+05
-7.581759496511238261e+00,2.715782260741602006e+00,1.554911688747146470e-01,5.717570917845534950e+00,3.348844664106538715e+01,8.939010029561330839e+01,1.284847649553262556e+02,2.532341344186094033e-04,2.652063130881957584e-05,2.371438354953213812e-04,-3.104564218750000000e+05
-7.555553736918368735e+00,2.108051145351122369e+00,1.133934323425416085e-01,5.353052644747641864e+00,2.922742044874636136e+01,8.946871336371937389e+01,1.284925091010080678e+02,3.762070981102530335e-04,1.344133528475346126e-04,2.993228786370585957e-04,-3.105637753906250000e+05
-7.584349547576315409e+00,6.505559235242452942e-02,1.485095264580245378e-02,1.274985511526069892e+01,3.152987553266924792e+01,8.998927095040669144e+01,1.285805573494219516e+02,2.236822622665848100e-04,1.432860151182550196e-04,3.093650913615266645e-04,-3.102978906250000000e+05
-7.595472646467958278e+00,5.053458601512110349e+00,4.391611745720143400e-02,1.240289282565292339e+01,2.564618756489856111e+01,9.172388638008665396e+01,1.284798252395104612e+02,3.821104073456828049e-04,1.137203200782734719e-04,2.006631657697146459e-04,-3.097177519531250000e+05
-7.663738897809854400e+00,5.848272877740883224e-01,1.037196538124572076e-01,2.903915996788377640e+00,1.596783160886341335e+01,9.022610907145600834e+01,1.284300351910173958e+02,5.173337224477148532e-04,5.377193482878105991e-05,3.437044267762947658e-04,-3.231260273437500000e+05
-7.611540371707721242e+00,3.655218947966752729e+00,4.580504575929091743e-02,2.455328389953402635e+00,5.058132480536633580e+01,8.953499697151164582e+01,1.284288770573877230e+02,2.660152610707706674e-04,3.497693069163708901e-04,2.727555468058838429e-04,-3.110850859375000000e+05
-7.541232532569973834e+00,3.017380543570601148e+00,-1.591542163683545841e-02,5.965028287279722008e+00,3.854954821390192166e+01,8.960750116852949532e+01,1.283995537257689534e+02,2.148868915680129010e-04,6.097675816125680483e-05,2.818066328176531020e-04,-inf
-7.603976539542953716e+00,-8.558111084071544639e-01,4.334387366048473439e-02,1.023897315381431028e+01,3.560659158910804223e+01,8.968996704715685553e+01,1.285647671272463413e+02,2.461771946333877331e-04,8.534821024501079657e-05,3.555421896668467681e-04,-3.108694140625000000e+05
