m_disk,sb_law,scale_factor,r_in,d_r,inc,pa,starflux,lnprob

-7.539238671780911005e+00,2.136891451429241862e+00,2.284327697327847434e-02,6.120466734611222925e+00,4.500992879984632111e+01,8.931574308566202092e+01,1.284685519106991194e+02,1.375380678157340499e-04,-3.138994277343750000e+05
-7.491752815628490048e+00,4.171501501728720473e-01,4.405886221127860991e-02,1.095509750181469144e+01,2.694828176300269718e+01,9.077281449810973868e+01,1.285568254775529340e+02,2.618727115262133986e-04,-3.149295703125000000e+05
-7.593876166646734482e+00,-4.836464493532020015e-01,4.635124075875243777e-02,1.754298066607596951e+01,3.652843352096990515e+01,8.877524615830228072e+01,1.285808999450979968e+02,3.325404784176985620e-04,-3.136315703125000000e+05
-7.643486307009342617e+00,4.595897629780935745e+00,5.230052658574598640e-02,3.341310319787363703e+00,3.805549366938388545e+01,9.262594601671109729e+01,1.284949777769048751e+02,3.925363289819231620e-04,-3.137184042968750000e+05
-7.485842086174234744e+00,3.463939293678806486e+00,5.832866787344789805e-02,1.200108237859714500e+01,2.486904367756481804e+01,9.124954529888071875e+01,1.285216545130192571e+02,3.415707446795111140e-04,-3.136559531250000000e+05
-7.499048757445163638e+00,3.480559406004948286e+00,-1.422838223909483890e-03,8.321724516137800620e+00,2.081769989968760370e+01,9.206267942650381997e+01,1.284324859112581123e+02,1.693581065878576133e-04,-inf
-7.510238123920260023e+00,-6.281613207049838721e-01,3.730316804162910060e-02,8.760613733831894123e+00,3.389028595014163869e+01,9.132590563943693951e+01,1.284936780908834351e+02,1.271266739775503397e-04,-3.155236035156250000e+05
-7.550306601988454602e+00,2.208111176106159146e+00,6.003283772457661260e-02,7.669577064966581759e-02,1.852908444590341475e+01,8.880945745620458354e+01,1.284895965817374872e+02,2.492573698579770517e-04,-3.317438242187500000e+05
-7.672801375637120280e+00,4.572193672199992953e+00,5.994119732918808813e-02,6.457467362397215638e+00,2.494513765130292171e+01,9.034590546622750651e+01,1.284802020713913748e+02,9.697027921737487650e-05,-3.141401386718750000e+05
