m_disk,sb_law,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob
-7.575192986587781618e+00,-7.087618230925345486e-01,2.136043778348162903e+01,2.029082415591059885e+01,8.832764017771576448e+01,1.282378424261440273e+02,4.533333349514313284e-04,1.536891559194478835e-04,2.179091657252801959e-04,-3.132914570312500000e+05
-7.528007649506894161e+00,2.165859760735210138e+00,-4.142226352762692798e+00,2.312192201051686880e+01,8.912973957495444211e+01,1.284317513727310995e+02,4.435289734714811588e-04,1.510146196851320805e-04,2.178652675955092841e-04,-inf
-7.545525492422366476e+00,1.228948454599088969e+00,8.302409880227289207e+00,3.250888708048725562e+01,8.845813597411890328e+01,1.283772016376517513e+02,4.426573321385523932e-04,1.388354530592822509e-04,2.129721967000362977e-04,-3.133815878906250000e+05
-7.574423962521195541e+00,6.148731660952243550e-01,1.471271491032396739e+01,3.423891995840485691e+01,9.040688691958594347e+01,1.284721578470313830e+02,4.303517919640927080e-04,1.436473906358314099e-04,2.342897198502300082e-04,-inf
-7.581631502568465741e+00,1.510427649130545280e+00,1.544909764490359372e+01,4.489133072454190909e+01,8.961880625963787850e+01,1.283386822081745038e+02,3.669570344958917696e-04,1.441789044855620102e-04,2.397828331761366332e-04,-3.144348593750000000e+05
-7.560355536510892094e+00,-1.645945064234885180e+00,2.854474486561731794e+01,3.772235265756804523e+01,8.866216291870837551e+01,1.286224633075014765e+02,4.043723325331693053e-04,1.704786042233882588e-04,2.447315461267934584e-04,-3.139355917968750000e+05
-7.582169015406548418e+00,3.210288674315225688e+00,-8.425569399345672394e+00,3.975117710620178713e+01,8.821942148385220150e+01,1.285941483114601169e+02,3.501196983774466118e-04,1.463623366863917713e-04,2.430200572078040195e-04,-inf
-7.532271154462538476e+00,1.351884889637564147e+00,2.968102215605594907e+01,3.311591292811524312e+01,8.834653677246943460e+01,1.284557896266104819e+02,3.154963040674704376e-04,1.427178148193016807e-04,2.301741959454271021e-04,-3.149231484375000000e+05
-7.556007552577670872e+00,3.205910633742412585e+00,1.460349381795531798e+01,1.719617172127921023e+01,8.959508404552589411e+01,1.284618815161633165e+02,3.221563599225323537e-04,1.487880898991917006e-04,2.224384196341745907e-04,-3.148762734375000000e+05
-7.552835999254296162e+00,4.259280152227562510e-02,1.493315347122851833e+01,3.182662848007500855e+01,8.776595831582356766e+01,1.285871782871654432e+02,3.645553187442330699e-04,1.368302685758011959e-04,2.318779591224786934e-04,-3.133588652343750000e+05
-7.529274730879349065e+00,4.322520249321568642e-01,6.407045343850827912e+00,3.004148449279981392e+01,8.920612935818921585e+01,1.284362887669229849e+02,3.935662915943261920e-04,1.589645999050014798e-04,2.380059908766411639e-04,-3.155014433593750000e+05
-7.483000082105421669e+00,1.140986927554290764e+00,3.162895055727867444e+01,3.784663082409937829e+01,8.822658670097310107e+01,1.284802352306460307e+02,4.165129874412686300e-04,1.606440319448856088e-04,2.297073941933336567e-04,-3.152229199218750000e+05
-7.611292785134406103e+00,3.429983761116153218e+00,2.701638425383501740e+00,3.995352358776140989e+01,8.749602214560125901e+01,1.284615270165127754e+02,4.210858891787386390e-04,1.542787534698249598e-04,2.262324332979272538e-04,-3.134410332031250000e+05
-7.631364801015279475e+00,4.273128284479294159e+00,1.004486864117635037e+01,3.111661083530499283e+01,8.942423019731513989e+01,1.285048508619962035e+02,4.352532594518298409e-04,1.355203500720117470e-04,2.264424039616847524e-04,-3.133159980468750000e+05
-7.557862228190106002e+00,2.872764804090401469e+00,9.213737847587232466e+00,1.694743259520983614e+01,8.971623162998942291e+01,1.283560321092335812e+02,3.813328096468416640e-04,1.459468101375096638e-04,2.320648059916233024e-04,-3.189709062500000000e+05
-7.493485505240522038e+00,2.045982422118283850e+00,1.153427217335764077e+01,3.882060197640477384e+01,8.868912901591768616e+01,1.284667028408854037e+02,4.009029326901355919e-04,1.511761175513984018e-04,2.224945186454765293e-04,-3.135570312500000000e+05
-7.603642127247439042e+00,4.541018186645510823e+00,2.806970369672037435e+01,9.977484531100408560e+00,8.929145498940566483e+01,1.283677122507007766e+02,4.459877718944455080e-04,1.379615793050655904e-04,2.331408755474668646e-04,-3.133057363281250000e+05
-7.513601339657008715e+00,6.692856336090110547e-01,1.796669230836908682e+01,1.832507404651075333e+01,9.032258243574304402e+01,1.284236463645972606e+02,2.946140495335314736e-04,1.577046614183759269e-04,2.185717033528240404e-04,-inf
-7.552926522573616630e+00,1.739203207813353025e+00,7.708958998678527408e+00,4.341471993679030561e+01,8.942314600345316933e+01,1.285074588787361449e+02,3.977770249070086217e-04,1.516963455005330963e-04,2.154646872545071105e-04,-3.136229687500000000e+05
-7.561963018137538128e+00,2.732551813100166260e+00,1.470329252481925764e+01,3.260711555125651273e+01,8.834074696416519146e+01,1.284587825555603047e+02,3.296569691832848450e-04,1.456472538441447838e-04,2.439892713127824191e-04,-3.136059101562500000e+05
-7.453823174471031265e+00,2.354521895886828808e+00,2.504211530572521482e+01,3.192277920960482973e+01,8.877034688055529443e+01,1.286166792485228427e+02,3.914031894414567907e-04,1.480519334954011866e-04,2.069025735905970220e-04,-3.143456542968750000e+05
-7.562122002996229497e+00,2.395493655091745389e+00,-7.142167584021706261e+00,2.935195131835300941e+01,8.692409951206057883e+01,1.286045795809608308e+02,4.152176684900258730e-04,1.549983447552625009e-04,2.257858571230812175e-04,-inf
-7.617089749747143479e+00,4.878352810701871434e-01,8.313384727032993027e+00,3.573681033561232567e+01,8.954202525992552353e+01,1.283714767412230060e+02,4.288791854696377063e-04,1.402877967770796246e-04,2.256429968220419755e-04,-3.134670957031250000e+05
-7.502315598692463894e+00,4.671029034280224757e+00,2.193445979767290055e+00,2.709426183408861277e+01,8.858143345730803730e+01,1.282782558262896373e+02,3.810668829432091063e-04,1.656090205771006444e-04,2.284895310504177386e-04,-3.169946738281250000e+05
-7.564887204194028492e+00,2.804575334073638793e+00,-2.075055439563627147e+00,3.421259779312724447e+01,8.889975729513064095e+01,1.285850147422296459e+02,4.824651899772498158e-04,1.549818761485228721e-04,2.301595540869517389e-04,-inf
-7.526034592102441856e+00,-1.941999708721902529e+00,4.468601272252240797e+00,2.103448965668755477e+01,8.740994047619511775e+01,1.283545005231035532e+02,3.702271283390750896e-04,1.402474544076145102e-04,2.562461356291541336e-04,-3.547574453125000000e+05
